år 2002;år 2003;år 2004;år 2005;år 2006;år 2007;år 2008;år 2009;år 2010;år 2011;år 2012;år 2013;år 2014;år 2015;år 2016;år 2017;år 2018;år 2019
0380 Uppsala;taxi;285;270;275;282;290;295;294;299;320;340;364;362;368;359;381;383;380;343
0381 Enköping;taxi;50;45;48;50;42;52;50;47;46;49;58;64;55;55;61;62;65;81
0382 Östhammar;taxi;25;17;16;18;18;19;20;20;22;21;24;26;28;27;24;24;23;23
0428 Vingåker;taxi;11;12;13;14;14;29;32;29;31;27;18;12;9;9;10;7;1;..
0461 Gnesta;taxi;23;12;10;9;8;9;9;8;7;7;5;4;3;2;2;4;2;2
0480 Nyköping;taxi;90;108;117;148;146;53;56;55;51;56;51;55;57;60;74;79;67;63
0481 Oxelösund;taxi;6;6;5;3;4;2;2;4;4;5;4;3;4;4;5;5;6;8
0482 Flen;taxi;17;22;24;23;20;23;23;23;19;24;18;16;15;13;15;21;12;11
0483 Katrineholm;taxi;13;13;14;16;14;12;14;21;20;22;25;25;121;98;133;42;83;58
0484 Eskilstuna;taxi;99;120;132;133;123;140;84;71;70;79;72;72;72;54;76;81;95;108
0486 Strängnäs;taxi;29;31;26;28;27;30;29;24;28;29;30;30;33;33;45;48;34;47
0488 Trosa;taxi;15;17;16;15;18;21;18;19;22;24;36;39;44;45;58;54;52;54
0509 Ödeshög;taxi;1;1;3;4;3;1;0;0;0;0;0;0;0;0;5;5;6;7
0512 Ydre;taxi;10;10;10;9;8;8;8;7;6;6;6;6;6;6;5;3;..;..
0513 Kinda;taxi;21;12;14;12;12;12;11;6;6;8;6;8;9;10;10;1;1;1
0560 Boxholm;taxi;7;7;7;7;7;6;6;6;6;6;5;5;7;8;8;9;8;3
0561 Åtvidaberg;taxi;17;16;21;22;24;24;22;14;20;18;18;24;21;24;24;13;10;10
0562 Finspång;taxi;29;29;35;31;31;28;48;46;41;26;20;21;16;17;17;18;18;20
0563 Valdemarsvik;taxi;7;7;8;7;3;0;0;0;0;0;0;0;0;0;0;;..;..
0580 Linköping;taxi;123;121;125;118;121;128;137;146;156;162;178;188;175;185;205;225;247;261
0581 Norrköping;taxi;134;136;137;139;145;156;163;169;170;185;185;192;222;235;229;216;217;237
0582 Söderköping;taxi;18;14;12;13;12;10;10;7;4;4;5;4;4;4;3;3;1;1
0583 Motala;taxi;42;41;38;33;37;35;37;41;39;39;35;46;43;44;46;48;41;69
0584 Vadstena;taxi;2;2;2;2;2;4;5;7;8;11;7;7;5;4;3;1;1;2
0586 Mjölby;taxi;18;19;18;18;20;20;22;19;16;15;15;20;20;19;24;35;31;40
0604 Aneby;taxi;2;5;4;4;5;1;5;5;2;3;7;8;9;8;8;3;5;8
0617 Gnosjö;taxi;7;6;4;1;1;1;2;2;3;4;5;3;2;2;2;2;3;3
0642 Mullsjö;taxi;2;1;2;2;2;1;2;2;1;1;1;2;4;2;1;1;..;..
0643 Habo;taxi;3;1;1;2;2;3;2;1;1;1;1;1;1;1;1;1;..;3
0662 Gislaved;taxi;18;19;24;25;22;20;21;17;18;17;23;22;18;14;15;15;16;14
0665 Vaggeryd;taxi;8;8;10;8;10;8;10;9;6;9;6;8;6;9;9;9;8;12
0680 Jönköping;taxi;95;95;90;97;107;118;118;130;124;122;128;119;98;157;163;173;138;152
0682 Nässjö;taxi;26;26;26;25;27;32;30;40;38;36;33;36;36;26;30;28;23;19
0683 Värnamo;taxi;28;26;34;31;30;32;29;30;35;37;29;30;26;22;25;24;27;24
0684 Sävsjö;taxi;13;10;13;14;12;12;12;1;1;3;4;4;7;13;13;10;10;5
0685 Vetlanda;taxi;21;21;20;21;20;20;20;18;17;17;22;21;19;18;20;20;20;19
0686 Eksjö;taxi;32;30;29;21;21;21;21;22;21;20;23;21;19;23;21;19;18;15
0687 Tranås;taxi;31;30;29;30;27;27;21;23;27;23;27;25;27;28;31;29;31;43
0760 Uppvidinge;taxi;9;8;8;9;5;4;5;3;3;5;4;3;4;4;3;3;5;5
0761 Lessebo;taxi;12;12;12;12;6;9;9;13;14;13;6;3;6;7;4;2;6;6
